Havaintopaikka;Koordinaatit;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot
"Tuusulanjärvi (21.082.1.001)/Valtakunnallinen sinileväseuranta (Halosenniemi)";"60° 26' 8.52"" N, 25° 3' 20.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-22T11:22:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Kuontijärvi (73.052.1.002)/Kuontijärvi, länsi";"66° 8' 24.73"" N, 28° 58' 19.15"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-22T11:40:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Tuusulanjärvi (21.082.1.001)/Järvenpään rantapuisto";"60° 27' 53.17"" N, 25° 4' 54.40"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-23T08:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Velkuan - Iniön välisaaristo/Havaintopaikka 7";"60° 21' 55.46"" N, 21° 33' 57.86"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-08-25T08:20:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ukonvesi (Saimaa) (04.151.1.001)/Launialan uimaranta";"61° 41' 26.99"" N, 27° 19' 11.59"" E";"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-08-25T13:38:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kosamonjärvi (61.741.1.002)/Timolantie 110";"65° 15' 49.28"" N, 27° 52' 25.59"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-08-26T12:49:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Lampsijärvi (67.936.1.003)/Lampsijärvi";"66° 41' 57.34"" N, 24° 29' 22.86"" E";"Lapin elinkeino-, liikenne- ja ympäristökeskus";2023-08-27T09:54:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Heiniö (14.937.1.014)/Heiniönkankaantie 161";"62° 14' 33.67"" N, 27° 12' 15.55"" E";"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-08-31T18:53:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Näkösyvyys 0,siis rannasta astut järveen,"
"Maikkalanselkä (23.021.1.015)/Talpelanlahti";"60° 18' 28.24"" N, 23° 59' 47.98"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-09-01T10:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kuusiston salmet ja Piikkiönlahti/Önsholm";"60° 21' 57.88"" N, 22° 26' 37.56"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-09-01T14:16:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 57.43"" N, 24° 18' 53.93"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-09-03T11:08:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ukonvesi (Saimaa) (04.151.1.001)/Launialan uimaranta";"61° 41' 27.17"" N, 27° 19' 13.99"" E";"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-09-08T17:20:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Varikkaan uimaranta";"60° 22' 23.44"" N, 24° 14' 12.65"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-09-09T14:52:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kallavesi (yhd.)/Vaajasalo, eteläranta";"62° 53' 42.27"" N, 27° 49' 53.48"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-09-11T11:04:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Laaja yhtenäinen lautta rantaan ajautuneena."
"Kallavesi (yhd.)/Vaajasalo, eteläranta";"62° 53' 44.67"" N, 27° 49' 56.27"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-09-12T10:19:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Navakassa tuulessa vesimassaan sekoittuneena."
"Kallavesi (yhd.)/Vaajasalo, eteläranta";"62° 53' 44.87"" N, 27° 49' 53.25"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-09-13T13:45:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Vesikasvillisuuden suojaamilla rannoilla haisevia paksuja levälauttoja."
"Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk";"60° 24' 54.23"" N, 24° 19' 0.02"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-09-17T09:10:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Saapunki (74.083.1.001)/Aksolahti";"66° 0' 18.68"" N, 29° 13' 6.50"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-10-15T15:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kynsivesi - Leivonvesi (14.352.1.001)/Kortelahti";"62° 22' 36.13"" N, 26° 10' 39.23"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-01T09:55:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Räyringinjärvi (48.005.1.003)/Räyringinjärven uimaranta";"63° 23' 19.37"" N, 23° 48' 41.73"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-14T12:03:59;2;;-;"Asiantuntijan ylläpitämä";"Säännöllisen uimarantavesinäytteenoton yhteydessä uimarannan vedessä havaittiin runsaasti sinilevää. Uimarannalle asetettiin uintikieltosuositus. Vedessä oli paljon myös siitepölyä sinilevän lisäksi."
"Savijärvi (81.043.1.002)/Valtakunnallinen sinileväseuranta";"60° 21' 50.39"" N, 25° 20' 6.94"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-14T12:37:00;2;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Haapajärvi (06.022.1.001)/Valtakunnallinen sinileväseuranta";"60° 55' 25.14"" N, 28° 18' 9.76"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-14T14:28:00;2;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Kakskerranjärvi (95.110.1.001)/Havaintopaikka 1";"60° 21' 52.62"" N, 22° 14' 53.28"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-16T13:33:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Päijänne (yhd.)/Varmaniemi";"61° 28' 13.20"" N, 25° 40' 10.02"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2023-06-16T14:35:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
Klobbfjärden/Dyviken;"60° 23' 6.65"" N, 26° 23' 9.39"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-17T11:16:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Saimaa (04.112.1.001)/Vaittilan uimaranta";"61° 16' 37.08"" N, 28° 49' 11.80"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-19T08:40:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Kankarisvesi (14.512.1.002)/Rasuanniemi";"61° 57' 16.26"" N, 25° 8' 37.72"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-19T09:24:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Ukonvesi (Saimaa) (04.151.1.001)/Koivukummunpolku";"61° 36' 36.50"" N, 27° 16' 29.62"" E";"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-06-19T14:15:00;2;;-;"Kokeneen käyttäjän ylläpitämä";
"Rapojärvi - Haukkajärvi (14.182.1.002)/Näköalapaikka Rapojärvelle";"60° 56' 59.83"" N, 26° 54' 20.70"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-19T17:30:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Alasenjärvi (14.164.1.002)/Kotiniemi";"61° 0' 50.26"" N, 25° 43' 25.03"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2023-06-19T18:31:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Oliskohan takkulaa lannotettu kun nyt jo runsaaati sinilevää?"
"Alasenjärvi (14.164.1.002)/Saunaranta";"61° 0' 57.82"" N, 25° 44' 20.77"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2023-06-19T19:52:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Savijärvi (81.043.1.002)/Valtakunnallinen sinileväseuranta";"60° 21' 50.39"" N, 25° 20' 6.94"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-20T10:54:00;2;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Lohjanjärvi (23.021.1.001)/Malkaniemi";"60° 12' 25.54"" N, 23° 51' 38.41"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-20T12:59:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Alasjärvi (35.214.1.004)/Alasjärvi";"61° 30' 8.08"" N, 23° 52' 49.42"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-20T13:56:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Leppävesi (14.311.1.001)/Leppälahden uimaranta";"62° 14' 14.69"" N, 25° 57' 38.75"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-20T16:42:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Levää kertynyt muutaman neliön alueelle rantaviivaan ja siitä pari metriä ulapalle päin."
"Pyhäjärvi (34.031.1.001)/Ranniitunlahti";"61° 1' 35.09"" N, 22° 10' 27.92"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-20T17:56:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Lohjanjärvi (23.021.1.001)/Kaurianniemi, Jäkälämäki";"60° 12' 22.48"" N, 23° 52' 15.01"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-20T22:05:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Räyringinjärvi (48.005.1.003)/Räyringinjärven uimaranta";"63° 23' 19.37"" N, 23° 48' 41.73"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-21T14:28:00;2;;-;"Asiantuntijan ylläpitämä";"Uimarannan vedessä havaittavissa runsaasti sinilevää. Uimarannalla uintikieltosuositus."
"Lohjanjärvi (23.021.1.001)/Valtakunnallinen sinileväseuranta (Aurlahden uimaranta)";"60° 14' 51.00"" N, 24° 3' 9.72"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-21T17:00:00;2;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";"Levähippuja tasaisesti pinnassa ja vesipatsaassa, rannassa paikoittain pieniä lauttoja (lähinnä Dolichospermum, Woronichia, joukossa siitepölyä ja viherlevää), veden lt 24,6 °C 0,10 cm, näkösyvyys 1,1 m"
"Summan edusta/Popanniemi";"60° 32' 4.39"" N, 27° 4' 56.55"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-22T00:46:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Suvisaaristo-Lauttasaari/Pieni Lehtisaari";"60° 6' 17.88"" N, 24° 45' 37.70"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-22T11:40:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Kolmatta päivää sinilevää"
"Sauvonen (14.378.1.007)/Sauvalahti";"62° 20' 35.73"" N, 26° 36' 3.14"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-22T15:22:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Aivan vihreää vettä järven pohjoispäässä, rannassa kasaantunutta levää."
"Gennarbyviken (92.111.1.001)/Gennarby viken, pohjoinen";"60° 2' 33.67"" N, 23° 19' 38.06"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-23T20:18:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Orivesi (Saimaa) (04.311.1.001)/Rauvanselkä";"62° 27' 6.77"" N, 29° 32' 5.48"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2023-06-24T12:47:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Orivesi (Saimaa) (04.311.1.001)/Havaintopaikka 7";"62° 17' 42.21"" N, 29° 23' 55.66"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2023-06-24T13:03:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhäselkä (Saimaa) (04.321.1.001)/Niittylahden uimaranta";"62° 30' 28.94"" N, 29° 49' 7.41"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2023-06-24T14:22:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Pietarsaaren edusta/Kåtaflagan";"63° 45' 44.78"" N, 22° 40' 53.88"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-25T10:45:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Mahnalanselkä - Kirkkojärvi (35.511.1.001)/Siuron uimaranta";"61° 28' 35.94"" N, 23° 19' 57.74"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-25T14:27:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Ylisjärvi (24.043.1.001)/Tuoreskallio";"60° 21' 17.47"" N, 23° 16' 26.79"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-25T14:35:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Alasjärvi (35.214.1.004)/Alasjärvi";"61° 30' 7.84"" N, 23° 52' 49.49"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-25T17:35:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Kuorasjärvi (44.095.1.001)/Kallioniementie";"62° 41' 3.12"" N, 23° 14' 32.47"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-25T18:57:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Ii - Olhava - Taipale/Valtakunnallinen sinileväseuranta (Iin Pirttiperä)";"65° 30' 55.19"" N, 25° 15' 58.92"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-26T09:30:00;2;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";"Maanantaina 26.6 sinilevää havaittiin rannalla runsaasti, tiistaina 27.6 ja keskiviikkona 28.6 levää ei enää havaittu."
"Kallavesi (yhd.)/Metsämaja";"62° 52' 32.33"" N, 27° 48' 44.80"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-06-26T09:45:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Roine (yhd.)/Korkehinen";"61° 23' 2.97"" N, 24° 8' 45.18"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-26T10:00:00;2;;-;"Tavallisen käyttäjän ylläpitämä";Sinileväesiintymä
"Hakkenpää - Tuulvesi/Vehas";"60° 33' 56.07"" N, 21° 32' 20.84"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2023-06-26T10:54:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Pihlajavesi (Saimaa) (04.121.1.001)/Haapaselkä";"61° 35' 6.61"" N, 28° 13' 45.50"" E";"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus";2023-06-26T11:01:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Levää koko rantaviivan matkalla (20 m) usean metrin leveydellä."
"Luodonjärvi (99.110.1.001)/Hästöskatan";"63° 44' 29.02"" N, 22° 51' 31.41"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2023-06-26T11:26:53;2;;-;"Asiantuntijan ylläpitämä";"Uimavedessä havaittavissa runsaasti sinilevää. Uimarannalle asetettiin uintikieltosuositus."
