Havaintopaikka;Koordinaatit;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot
"Konsajärvi (65.592.1.017)/Hevoskummun Upseeriparantola";"67° 8' 0.49"" N, 25° 48' 7.61"" E";"Lapin elinkeino-, liikenne- ja ympäristökeskus";2024-07-11T09:23:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Järvi pelkkää sinileväpuuroa. Kirkasta vettä ei ole näkyvissä lainkaan."
"Paimionlahti ja Paimionselän sisäosa/Hiirsalmi";"60° 22' 51.26"" N, 22° 31' 42.87"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-12T10:15:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Merenlahdissa ja Hiirsalmessa levää jopa ”puurona”. Veneellä ajettaessa merivesi roiskuu vihreänä."
"Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk";"60° 24' 59.05"" N, 24° 18' 50.59"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-13T08:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 54.57"" N, 24° 18' 54.70"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-13T08:31:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Haudankallio";"60° 24' 41.76"" N, 24° 18' 55.80"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-13T08:33:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pohjois-Airisto - Kotkanaukko/Kaarnitra";"60° 22' 41.33"" N, 22° 4' 6.16"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-13T13:44:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhäjärvi (35.211.1.001)/Reipin uimaranta";"61° 26' 57.33"" N, 23° 33' 4.73"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-13T13:49:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Olkkalanjoen alue (23.091)/Olkkalanjoki";"60° 25' 13.85"" N, 24° 18' 39.58"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-13T16:37:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Nyt myös Olkkalanjoessa!"
"Loviisa-Porvoo/Keipsalon edustalla avomerellä";"60° 14' 25.95"" N, 26° 7' 5.15"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-13T17:25:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pokronlampi (04.421.1.001)/Havaintopaikka 1";"63° 17' 38.98"" N, 30° 2' 20.80"" E";"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus";2024-07-16T11:37:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Haudankallio";"60° 24' 41.76"" N, 24° 18' 55.80"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-18T07:31:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Haudankallio";"60° 24' 41.76"" N, 24° 18' 55.80"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-21T13:53:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Paimionlahti ja Paimionselän sisäosa/Valtakunnallinen sinileväseuranta (Paimionlahti, Harvaluodon uimaranta)";"60° 22' 14.99"" N, 22° 30' 56.58"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-22T15:39:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Enäjärvi (22.005.1.001)/Sopukantie 36";"60° 20' 36.29"" N, 24° 22' 44.66"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-22T21:20:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Enäjärvi (22.005.1.001)/Sopukantie 36";"60° 20' 36.29"" N, 24° 22' 44.66"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-23T06:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Poikkeuksellinen mintunvihreä väri sekä levälauttojen mosaiikkimaisuus."
"Enäjärvi (22.005.1.001)/Sopukantie 36";"60° 20' 36.29"" N, 24° 22' 44.66"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-24T01:59:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Haapajärvi (06.022.1.001)/Valtakunnallinen sinileväseuranta";"60° 55' 25.14"" N, 28° 18' 9.76"" E";"Kaakkois-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-24T10:37:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Halikonlahden pohjoinen haara/Mäntykallio";"60° 12' 49.55"" N, 22° 33' 0.19"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-24T17:50:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Paksua vihreää kerrostumaa."
Havainto:Gåsskär;;-;2024-07-24T18:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Sipoon saaristo/Rotarien sinileväseuranta (Sipoon selkä, Stora Korpholmen)";"60° 12' 26.41"" N, 25° 19' 52.66"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-25T11:23:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Rymättylän ja Houtskarin välinen saaristo/Sandviken";"60° 9' 36.21"" N, 21° 41' 24.02"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-25T11:50:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kustavin pohjoispuolinen ulkosaaristoalue/Vähä-Huukainen 42";"60° 40' 37.28"" N, 21° 20' 13.39"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-25T13:52:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Havainto:Nuokot - Majasaari";;-;2024-07-25T18:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Pinnassa paljon rantaan ajautunutta."
"Mannervesi/Valtakunnallinen sinileväseuranta (Iso Marjakari)";"61° 0' 19.67"" N, 21° 18' 46.82"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-26T10:14:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Korppoon - Houtskarin ulkosaaristoalue/Berghamn Hamnholmin ympäristö";"60° 8' 57.90"" N, 21° 18' 31.78"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-26T14:35:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Levää veteen sekoittuneena ja pintaan kertyneenä."
"Korppoon - Houtskarin ulkosaaristoalue/Björkön länsipuoli";"59° 54' 39.03"" N, 21° 40' 23.92"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-07-26T17:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Haudankallio";"60° 24' 41.76"" N, 24° 18' 55.80"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-27T08:31:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 54.57"" N, 24° 18' 54.70"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-27T09:08:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kotojärvi (19.008.1.001)/Hietasen uimaranta";"60° 27' 4.44"" N, 25° 23' 54.18"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-27T17:26:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Seurasaari/Rajasaaren koirapuisto ja uimaranta";"60° 10' 57.83"" N, 24° 54' 9.12"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-07-28T16:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Konsajärvi (65.592.1.017)/Hevoskummun Upseeriparantola";"67° 8' 0.49"" N, 25° 48' 7.61"" E";"Lapin elinkeino-, liikenne- ja ympäristökeskus";2024-07-29T14:10:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Haudankallio";"60° 24' 41.76"" N, 24° 18' 55.80"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-04T12:31:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk";"60° 24' 59.05"" N, 24° 18' 50.59"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-04T12:57:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Mynälahden sisäosa/Valtakunnallinen sinileväseuranta (Kärmäläinen)";"60° 33' 22.67"" N, 21° 46' 3.57"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-08-05T10:34:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Kymijärvi (14.164.1.001)/Enonranta";"60° 58' 43.17"" N, 25° 46' 19.39"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2024-08-05T21:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Tuusulanjärvi (21.082.1.001)/Valtakunnallinen sinileväseuranta (Halosenniemi)";"60° 26' 8.52"" N, 25° 3' 20.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-06T13:59:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Rusutjärvi (21.083.1.001)/Valtakunnallinen sinileväseuranta (uimaranta)";"60° 25' 47.28"" N, 24° 59' 17.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-06T14:00:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Kymijärvi (14.164.1.001)/Kariston uimaranta";"60° 58' 43.77"" N, 25° 45' 4.37"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2024-08-06T14:03:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Sinilevää runsaasti."
"Kymijärvi (14.164.1.001)/Valtakunnallinen sinileväseuranta (Kariston uimaranta)";"60° 58' 43.95"" N, 25° 45' 4.93"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2024-08-06T14:30:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Kirkkojärvi (95.110.1.020)/Valtakunnallinen sinileväseuranta (Rymättylän Kirkkojärvi)";"60° 22' 15.30"" N, 21° 55' 58.83"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-08-07T08:39:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";"Haiseva kerros levää pinnalla."
"Mynälahden sisäosa/Rotarien sinileväseuranta (Pyhäranta Rantamäki)";"60° 37' 5.45"" N, 21° 47' 45.89"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-08-07T18:40:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Paimionlahti ja Paimionselän sisäosa/Valtakunnallinen sinileväseuranta (Paimionlahti, Harvaluodon uimaranta)";"60° 22' 14.99"" N, 22° 30' 56.58"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-08-13T09:52:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Ylisjärvi (24.043.1.001)/Tuoreskallio";"60° 21' 17.47"" N, 23° 16' 26.79"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-08-13T13:26:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Ylisjärvi (24.043.1.001)/Tuoreskallio";"60° 21' 17.47"" N, 23° 16' 26.79"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-08-14T12:30:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Sääskjärvi (16.004.1.001)/Valtakunnallinen sinileväseuranta";"60° 49' 26.32"" N, 26° 14' 28.70"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2024-08-14T13:13:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Evijärvi (47.021.1.001)/Järvikangas";"63° 25' 26.85"" N, 23° 25' 38.44"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-14T23:36:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Tuusulanjärvi (21.082.1.001)/Valtakunnallinen sinileväseuranta (Halosenniemi)";"60° 26' 8.52"" N, 25° 3' 20.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-15T10:45:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Jaurakaisjärvi (60.065.1.001)/Marikaisoja";"65° 12' 6.24"" N, 26° 53' 57.05"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-15T21:06:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkonkylän veneranta";"60° 24' 54.57"" N, 24° 18' 54.70"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-18T14:39:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Sääskjärvi (16.004.1.001)/Valtakunnallinen sinileväseuranta";"60° 49' 26.32"" N, 26° 14' 28.70"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2024-08-20T10:32:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Pyhäjärvi (16.003.1.001)/Pyykkiniekan uimaranta";"60° 44' 21.67"" N, 26° 5' 37.27"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2024-08-20T13:14:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Tuusulanjärvi (21.082.1.001)/Valtakunnallinen sinileväseuranta (Vanhankylänniemi)";"60° 27' 3.24"" N, 25° 3' 9.00"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-27T13:36:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Tuusulanjärvi (21.082.1.001)/Valtakunnallinen sinileväseuranta (Halosenniemi)";"60° 26' 8.52"" N, 25° 3' 20.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-27T13:38:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk";"60° 24' 59.05"" N, 24° 18' 50.59"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-08-29T21:21:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kirkonsalmi - Salavainen - Kolkka/Pitkäkari";"60° 27' 5.12"" N, 21° 42' 44.77"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-09-03T14:46:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"En ole 40 vuoden aikana saaressa nähnyt näin paljon levää pinnalla kuin nyt."
"Tuusulanjärvi (21.082.1.001)/Valtakunnallinen sinileväseuranta (Halosenniemi)";"60° 26' 8.52"" N, 25° 3' 20.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-04T13:15:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Tuusulanjärvi (21.082.1.001)/Valtakunnallinen sinileväseuranta (Vanhankylänniemi)";"60° 27' 3.24"" N, 25° 3' 9.00"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-04T13:15:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Rusutjärvi (21.083.1.001)/Valtakunnallinen sinileväseuranta (uimaranta)";"60° 25' 47.28"" N, 24° 59' 17.88"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-04T13:16:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Savijärvi (81.043.1.002)/Valtakunnallinen sinileväseuranta";"60° 21' 50.39"" N, 25° 20' 6.94"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-04T13:18:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Rutajärvi (35.286.1.004)/Kauniston uimaranta";"61° 4' 59.79"" N, 23° 26' 45.36"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-05T14:03:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kallavesi (yhd.)/Vaajasalo, eteläranta";"62° 53' 45.19"" N, 27° 49' 56.22"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2024-09-06T10:44:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Muodostaa rantaveteen ja maalle vesirajaan ulottuvaa haisevaa levämassaa."
"Vesijärvi (14.241.1.001)/Valtakunnallinen sinileväseuranta (pohjoisosa)";"61° 10' 17.08"" N, 25° 32' 7.22"" E";"Hämeen elinkeino-, liikenne- ja ympäristökeskus";2024-09-06T11:00:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Evijärvi (47.021.1.001)/Levähdyspaikka Inassa";"63° 26' 35.58"" N, 23° 30' 52.17"" E";"Etelä-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-06T14:29:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Pyhäjärvi (34.031.1.001)/Myllyojanlahti";"61° 4' 14.02"" N, 22° 9' 9.60"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-09-06T18:00:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Jalanti (35.281.1.002)/Kapeikko";"61° 10' 26.32"" N, 23° 43' 18.93"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-07T12:06:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Kallavesi (yhd.)/Vaajasalo, eteläranta";"62° 53' 45.19"" N, 27° 49' 56.22"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2024-09-08T11:17:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Rantaan ajautuvaa levämassaa."
"Jalanti (35.281.1.002)/Kapeikko";"61° 10' 26.32"" N, 23° 43' 18.93"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-13T07:39:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Konsajärvi (65.592.1.017)/Hevoskummun Upseeriparantola";"67° 8' 0.49"" N, 25° 48' 7.61"" E";"Lapin elinkeino-, liikenne- ja ympäristökeskus";2024-09-13T12:19:00;3;;-;"Tavallisen käyttäjän ylläpitämä";"Poikkeuksellista, että sinilevää on edelleen näin runsaasti ja näin myöhään syksyllä."
"Jalanti (35.281.1.002)/Kapeikko";"61° 10' 26.32"" N, 23° 43' 18.93"" E";"Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-09-16T07:10:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
"Unnukka (04.271.1.001)/Valtakunnallinen sinileväseuranta (Kalmalahti)";"62° 29' 4.92"" N, 27° 46' 51.60"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2024-09-17T10:21:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Köyliönjärvi (34.054.1.001)/Valtakunnallinen sinileväseuranta (Yttilän Otta)";"61° 6' 19.80"" N, 22° 21' 29.88"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-09-17T14:53:00;3;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Paimionselän ulko-osa/Koffsjöholmen";"60° 9' 40.30"" N, 22° 20' 42.52"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-09-17T15:33:00;3;;-;"Tavallisen käyttäjän ylläpitämä";
Kruunuvuorenselkä/Kaitalahti;"60° 10' 36.63"" N, 25° 1' 9.39"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-01-10T15:45:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Jokaiseen pilkkireikään nousi 10.1. (mutta ei 9.1.) useita euron kolikin kokoisia paksuhkoja levälauttoja."
"Juvankosken alue (27.021)/Juvan patoallas";"60° 34' 26.85"" N, 22° 45' 42.48"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-01T13:15:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Vuohtajärvi (53.053.1.015)/Havaintopaikka 2";"63° 36' 15.21"" N, 24° 54' 49.34"" E";"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus";2024-06-10T18:55:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Päijänne (yhd.)/Jänissalmi Korpilahti";"62° 0' 28.65"" N, 25° 37' 38.62"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-12T08:00:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Vappari/Bläsnäsin uimaranta";"60° 18' 48.70"" N, 22° 17' 42.32"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-12T09:00:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Paraisten sisäsaaristovedet/Rotarien sinileväseuranta (Hessund)";"60° 19' 21.12"" N, 22° 21' 4.14"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-12T11:54:00;2;;"Valtakunnallinen leväseuranta";"Asiantuntijan ylläpitämä";
"Alvajärvi (14.481.1.001)/Hiekan uimaranta Pihtipudas";"63° 22' 41.56"" N, 25° 32' 12.35"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-12T12:37:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Pielavesi (14.741.1.001)/Sammalisenlahti";"63° 15' 44.89"" N, 26° 45' 18.39"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2024-06-12T15:01:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Rannassa vihreä lautta ja isolla alueella järveä vihreitä juovia."
"Päijänne (yhd.)/Asunnanniemi";"62° 2' 1.82"" N, 25° 50' 28.67"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-14T10:24:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
Klobbfjärden/Dyviken;"60° 23' 6.47"" N, 26° 23' 9.75"" E";"Uudenmaan elinkeino-, liikenne- ja ympäristökeskus";2024-06-14T14:06:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Murtonen (04.177.1.004)/Havaintopaikka 1";"61° 52' 26.84"" N, 27° 47' 22.54"" E";"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus";2024-06-14T14:06:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Palokkajärvi (14.291.1.001)/Tyyppälänlahden uimaranta";"62° 16' 31.09"" N, 25° 45' 28.54"" E";"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-14T22:32:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
"Iso-Lyly (04.736.1.003)/Riihelä";"62° 59' 43.19"" N, 28° 31' 49.12"" E";"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus";2024-06-15T09:16:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Ensimmäistä kertaa ikinä sinilevää Iso-Lylyssä!"
"Paimionlahti ja Paimionselän sisäosa/Hiirsalmi";"60° 22' 49.54"" N, 22° 31' 11.81"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-15T11:16:00;2;;-;"Tavallisen käyttäjän ylläpitämä";"Rannassa myös pinnalla."
"Kuusiston salmet ja Piikkiönlahti/Önsholm";"60° 21' 52.57"" N, 22° 26' 6.18"" E";"Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus";2024-06-15T12:08:00;2;;-;"Tavallisen käyttäjän ylläpitämä";
